feature,importance
Sites Visited__Taj Mahal,0.3826453218704001
Preferred Tour Duration,0.33856285530562474
VR Experience Quality,0.2787918228239751
Age,0.0
Sites Visited__Great Wall of China,0.0
Site Name_Machu Picchu,0.0
Site Name_Great Wall of China,0.0
Site Name_Eiffel Tower,0.0
Site Name_Colosseum,0.0
duration_gap,0.0
sites_visited_count,0.0
interest_count,0.0
Sites Visited__Machu Picchu,0.0
Sites Visited__Colosseum,0.0
Sites Visited__Eiffel Tower,0.0
